P_max,x,y,r_star,frequencia_min
80,0.01,0.99,0.28908816499458584,1
80,0.05,0.95,0.23116885916945268,2
80,0.1,0.9,0.20495050272168872,2
80,0.2,0.8,0.17649647746341626,2
85,0.01,0.99,0.28908816499458584,1
85,0.05,0.95,0.23116885916945268,2
85,0.1,0.9,0.20495050272168872,2
85,0.2,0.8,0.17649647746341626,2
90,0.01,0.99,0.28908816499458584,1
90,0.05,0.95,0.23116885916945268,2
90,0.1,0.9,0.20495050272168872,2
90,0.2,0.8,0.17649647746341626,2
95,0.01,0.99,0.28908816499458584,1
95,0.05,0.95,0.23116885916945268,2
95,0.1,0.9,0.20495050272168872,2
95,0.2,0.8,0.17649647746341626,2
100,0.01,0.99,0.28908816499458584,1
100,0.05,0.95,0.23116885916945268,2
100,0.1,0.9,0.20495050272168872,2
100,0.2,0.8,0.17649647746341626,2
